Duration	Gender	Age	Region	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6*	AC_7	AC_8	AC_9*	AC_10	AC_11	RATE_WITCH	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2:EC	IRI_3:PT*	IRI_4:EC*	IRI_8:PT	IRI_9:EC	IRI_11:PT	IRI_14:EC*	IRI_15:PT*	IRI_18:EC*	IRI_20:EC	IRI_21:PT	IRI_22:EC	IRI_25:PT	IRI_28:PT	REL	EDU	NAT_1	NAT_2	NAT_3	NAT_6	LNG1	EXCLUDE	LNG2	EXP1	EXP2	EXP3	RHAB
1072	Male	34	South	5	4	3	4	3	5	3	4	7	6	4	7	3	5	4	3	5	5	7	A	5	5	4	3	5	6	7	4	4	5	6	6	7	2	0	4	2	4	0	10	9	6	5	8	7	8	4	5	4	7	6	4	7	5	6	4	4	6	4	5	3	5	5	6	5	6	4	6	Islam	Graduate University / Professional School (Master's Degree, Doctoral Degree)	Unites states	Unites states		Texas	Yes			7	5	4	4
526	Male	25	South	1	1	1	4	1	2	2	1	7	5	5	4	4	6	3	4	4	3	3	A	3	3	3	2	3	3	2	2	3	2	2	4	3	3	3	3	3	3	1	5	6	3	3	3	8	3	5	3	8	5	5	5	2	7	5	4	3	4	5	5	4	4	3	4	7	6	5	4	Catholic	Junior High School / Middle School	United States	United States	Retail	Maryland	Yes			5	6	1	10
870	Male	30	Northeast	3	3	2	5	1	2	3	1	7	7	2	7	6	5	1	4	3	3	1	B	7	3	2	3	4	1	1	1	2	2	1	1	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	7	7	6	1	4	1	7	7	5	5	7	None 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	USA	USA 	Financial analyst 	New York 	Yes			4	5	3	0
547	Female	59	South	5	5	1	5	1	1	2	1	7	4	4	7	6	7	2	6	7	3	1	A	6	7	7	7	7	7	7	7	7	7	1	7	7	4	4	4	4	4	4	0	0	0	0	0	10	0	0	0	10	10	10	10	0	7	7	2	1	7	7	7	1	7	1	7	7	7	1	1	Christian	Vocational School / Technical College / Communication College (Associate Degree)	USA	United States	NONE	ARKANSAS	Yes			1	1	1	0
1066	Male	34	West	4	5	3	3	5	2	3	3	6	5	3	2	6	6	6	4	3	7	6	A	6	7	4	2	6	4	3	4	5	2	5	7	3	1	-3	2	-2	-3	3	8	3	6	2	5	2	7	2	7	8	8	1	7	1	2	6	2	3	6	2	6	2	7	2	2	4	3	6	2	Catholic 	University / College / Undergraduate School (Bachelor Degree)	United state of america	USA	Legal	California 	Yes		Native	7	7	4	5
887	Female	37	Midwest	4	3	1	5	3	3	3	1	7	6	6	7	2	7	5	7	4	4	4	A	3	1	3	1	1	1	1	1	7	3	1	3	3	4	4	4	4	4	4	0	9	0	0	0	9	0	0	0	10	0	10	0	0	10	7	1	4	7	7	6	4	7	1	7	7	7	4	5	Non denominational 	University / College / Undergraduate School (Bachelor Degree)	United States 	United States 	Property Manager 	Michigan 	Yes			3	1	1	3
987	Female	57	Northeast	3	3	1	3	4	2	3	1	2	7	3	7	4	4	6	7	4	7	7	A	4	1	1	4	4	4	1	1	1	1	1	4	1	4	4	4	4	4	4	0	10	10	0	0	10	0	10	0	10	5	10	10	10	10	4	4	4	5	5	5	4	4	5	5	7	7	7	7	Roman Catholic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	USA	USA	unemployed	New York	Yes			2	1	1	10
1013	Female	28	South	5	5	1	5	5	2	5	5	7	4	1	3	5	7	6	5	4	4	7	A	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	5	0	10	0	5	7	0	5	10	6	5	5	0	10	6	7	5	3	7	7	7	1	3	7	3	7	7	1	7	Catholic 	University / College / Undergraduate School (Bachelor Degree)	Usa	Usa	Waitress	California 	Yes			1	1	1	2
1043	Male	32	Northeast	4	5	1	5	3	4	4	3	3	6	4	4	5	6	5	3	7	3	3	A	1	1	1	1	1	1	1	1	7	1	1	4	4	4	4	4	4	4	4	10	0	5	0	0	5	0	0	1	10	0	10	0	0	10	7	1	1	7	5	5	1	4	1	7	5	7	5	4	Christian	Other	USA	USA	Detailer	PA	Yes			6	7	1	0
614	Male	52	South	3	4	2	4	2	1	3	1	7	4	1	5	1	1	1	5	1	3	5	A	5	5	1	4	3	2	1	1	6	2	1	4	3	0	1	1	1	2	4	1	2	0	0	1	1	0	1	2	2	1	0	0	0	1	6	4	3	5	6	5	4	6	2	5	5	2	2	3	non denomational 	University / College / Undergraduate School (Bachelor Degree)	usa	usa	IT	OK	Yes			5	6	2	4
1309	Male	57	South	4	4	4	4	5	4	4	2	7	7	2	7	6	6	4	4	3	4	4	B	4	4	5	5	5	4	4	4	4	4	4	4	4	4	4	3	3	3	2	7	10	5	0	0	6	0	0	0	0	0	0	0	0	0	6	4	3	5	5	5	5	4	3	4	5	6	4	4	Christian	Graduate University / Professional School (Master's Degree, Doctoral Degree)	United States	United States	Management	KY	Yes			3	1	1	10
618	Male	21	Midwest	3	3	3	3	1	3	3	3	4	4	4	4	4	4	4	4	4	4	4	A	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	4	5	1	4	7	7	1	3	1	4	5	6	4	7	Idk	Junior High School / Middle School	United States	United States	Music	Michigan	Yes		Native	5	1	1	0
1641	Female	36	West	2	2	2	4	4	3	2	2	5	2	2	2	4	7	1	1	6	4	1	A	4	4	4	2	4	4	2	2	4	2	2	2	2	-4	-4	-4	-3	0	0	5	8	0	0	5	5	0	5	5	8	5	5	5	5	7	5	2	6	7	6	5	2	2	1	4	7	4	5	5	Atheist 	Junior High School / Middle School	Usa	Usa	Unemployed 	OR	Yes			2	5	1	0
1047	Female	49	South	3	3	1	5	1	1	5	1	6	6	4	4	4	5	4	6	4	6	4	A	1	1	1	1	1	1	1	1	1	1	1	1	1	4	0	0	4	4	4	10	10	10	5	5	10	5	5	5	10	5	10	5	5	10	7	7	1	7	7	7	4	3	1	7	7	7	6	7	christian	Other	USA	USA	Unemployed	Nevada	Yes		Basic	1	1	1	10
646	Female	27	Midwest	5	5	5	5	1	4	5	5	4	3	6	5	5	6	7	4	7	3	1	A	5	2	2	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	8	5	10	10	5	10	5	0	0	10	10	10	10	5	5	7	7	1	5	7	7	5	2	1	7	7	7	6	7	Buddhism	Graduate University / Professional School (Master's Degree, Doctoral Degree)	United states	USA	Teaching	18 U.S.C	No		Native	7	1	1	5
1556	Female	26	Midwest	5	5	5	5	4	5	5	3	7	3	4	3	2	7	2	5	5	3	1	B	4	2	1	1	1	3	1	1	1	1	1	1	1	4	4	4	4	4	3	7	10	1	0	4	10	0	0	5	10	0	10	8	6	10	7	2	1	7	7	7	4	5	1	6	5	7	7	5	Christian 	Vocational School / Technical College / Communication College (Associate Degree)	United States	United States	Caregiver	Kansas	Yes			6	2	1	10
1446	Female	25	Midwest	5	4	3	5	5	5	5	5	5	4	4	1	1	6	6	1	6	1	1	B	4	1	1	1	1	1	1	1	3	1	1	1	1	-4	4	3	0	4	0	0	5	3	0	0	8	0	3	0	10	8	10	4	2	10	3	1	6	7	7	7	5	4	2	5	7	4	3	5	Spiritual	Vocational School / Technical College / Communication College (Associate Degree)	USA 	USA 	Budtender	CO	Yes			6	8	2	0
