id	cul	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6.	AC_7	AC_8	AC_9.	AC_10	AC_11	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2.EC	IRI_4.EC.	IRI_9.EC	IRI_14.EC.	IRI_18.EC.	IRI_20.EC	IRI_22.EC	IRI_3.PT.	IRI_8.PT	IRI_11.PT	IRI_15.PT.	IRI_21.PT	IRI_25.PT	IRI_28.PT	EXP_1	EXP_2	EXP_3	RHAB	FNL1	FNL2	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RATE_WITCH
11	EN1007	US	6	4	2	3	6	7	7	6	6	6	7	5	5	5	3	5	5	5	5	5	5	4	4	4	1	4	3	2	4	5	4	4	4	4	4	4	4	4	3	3	4	1	2	1	6	1	3	3	1	0	1	5	7	7	7	3	4	7	7	7	2	7	2	1	7	3	4	2	2	1	10	NA	NA	1	27	Northeast	Christian	Usa	Usa	Homemaker	Virginia	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
12	EN1008	US	2	2	2	2	2	1	4	4	2	3	3	2	2	4	4	4	4	5	3	5	4	6	6	5	7	7	4	5	5	2	6	6	3	1	-1	3	1	2	8	6	8	7	10	7	6	6	8	8	9	10	7	4	9	7	3	2	1	2	6	5	1	7	5	1	7	6	6	4	7	5	9	NA	NA	1	35	West	Colorado 	United States 	United States 	Dancer 	Colorado 	No	Conversational	Graduate University / Professional School (Master's Degree, Doctoral Degree)	A
13	EN1009	US	5	4	4	4	2	2	4	4	3	5	6	4	4	4	2	1	4	3	3	3	1	7	7	4	7	6	6	6	7	7	1	5	4	4	4	4	4	4	7	0	0	0	0	6	0	0	0	6	0	5	0	0	0	7	7	7	7	7	6	7	6	6	7	6	7	6	7	1	1	1	10	NA	NA	0	52	South	Born again Christian	USA	USA	Care giver to elderly parent	Noth Carolina	Yes		Other	A
14	EN101	US	7	7	7	7	7	7	7	7	7	7	7	7	7	5	5	5	5	5	5	5	5	7	7	1	7	7	1	7	7	7	7	7	4	4	4	4	4	4	10	10	10	5	10	10	10	10	10	10	10	10	5	10	10	7	7	7	7	7	7	7	7	7	7	1	7	7	7	8	8	1	10	NA	NA	1	35	Northeast	Christian	United States of America	United States of America	Information technology	New York	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	A
15	EN1010	US	1	7	5	7	7	7	4	7	7	7	7	7	7	5	5	4	5	4	5	3	5	7	1	1	7	7	1	1	7	4	4	1	0	4	4	0	4	4	6	10	0	0	1	3	0	0	0	10	0	4	0	0	8	7	7	4	7	7	7	3	7	7	7	2	7	3	4	1	1	1	0	NA	NA	1	20	Midwest	None	Usa	Usa	Retail	Mi	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
16	EN1011	US	7	7	4	7	7	7	7	7	7	7	7	7	7	5	4	1	4	5	2	5	4	5	4	6	4	4	2	4	6	4	6	4	4	4	3	3	4	4	10	0	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	7	1	7	6	7	5	7	5	3	5	1	1	1	1	1	0	NA	NA	1	21	South	christian	usa	usa	paramedic	fl	Yes		University / College / Undergraduate School (Bachelor Degree)	A
17	EN1012	US	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	6	4	2	2	2	4	5	3	3	1	1	-4	-4	1	1	1	-4	0	10	0	0	0	10	0	0	0	10	0	10	0	0	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	4	2	10	NA	NA	0	31	South	Buddhist	USA	USA	sales	NORTH CAROLINA	Yes		Vocational School / Technical College / Communication College (Associate Degree)	B
18	EN1013	US	5	7	1	7	7	7	6	5	3	5	7	7	5	4	3	2	4	5	5	5	2	7	3	3	5	5	6	2	3	5	5	3	4	3	3	0	2	2	0	7	0	0	6	8	0	7	2	9	7	7	6	6	8	7	6	7	6	7	7	7	6	7	7	6	7	7	7	5	2	3	2	NA	NA	0	39	West	Christianity	United States of America	United States	Software engineer	California	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	B
19	EN1014	US	1	1	1	1	1	4	1	3	1	1	3	1	4	5	5	5	5	5	5	5	4	7	7	7	7	7	1	7	7	1	3	7	4	3	2	4	4	4	10	10	10	10	10	10	10	9	9	8	10	10	7	10	10	7	1	7	1	1	7	7	2	3	7	3	7	7	6	8	4	1	1	NA	NA	0	40	Northeast	Christianity	United States of t	United States of America	Construction	New York	Yes		University / College / Undergraduate School (Bachelor Degree)	A
20	EN1015	US	6	6	6	6	6	6	6	6	6	6	6	6	6	4	4	4	4	4	4	4	4	6	3	3	3	3	3	2	2	3	3	3	2	2	2	2	2	3	2	10	5	0	5	5	0	5	0	10	3	10	5	3	10	7	7	6	7	7	7	7	3	5	6	5	7	4	5	2	1	1	10	NA	NA	1	26	South	Christian	USA	USA	NA	KY	Yes		Other	A
